timestamp,ioc_value,ioc_type,threat_type,malware_family,confidence_level,src_country,dst_port,tags,reporter,days_active,label
2026-05-30 07:53:39.227712+00:00,fallback_malicious_16c3ef0b.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227749+00:00,fallback_malicious_183a3d4c.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227686+00:00,fallback_malicious_62271f88.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227763+00:00,fallback_malicious_2974b129.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227686+00:00,fallback_malicious_62271f88.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227701+00:00,fallback_malicious_2003d49c.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227737+00:00,fallback_malicious_4533c6ad.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227686+00:00,fallback_malicious_62271f88.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227775+00:00,fallback_malicious_8c7d9090.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227701+00:00,fallback_malicious_2003d49c.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227763+00:00,fallback_malicious_2974b129.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227799+00:00,fallback_malicious_f043f198.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227737+00:00,fallback_malicious_4533c6ad.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227788+00:00,fallback_malicious_43fddb8c.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
2026-05-30 07:53:39.227749+00:00,fallback_malicious_183a3d4c.com,domain,botnet_cc,unknown_fallback,50,XX,80,fallback,fallback_gen,1,1
